,scaled_amount,scaled_time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Class
218770,0.10815342695451685,0.6668428905414773,2.10171890863874,0.398333714953328,-2.79050273182527,0.332809950253353,1.16461904253519,-1.34027249270631,0.900157493209764,-0.558583053868219,-0.231126645331468,-0.329866812178833,-0.405972077256371,0.232301540243313,0.827957978478165,-0.726364788647932,0.317473261331667,0.0692644200712016,0.533223589610004,-0.0779723881199656,-0.116046378128808,-0.0435813674813632,0.0586665069575901,0.249258716716157,-0.0686702906561942,0.461145876817198,0.409099116118583,0.661578739326031,-0.109932509715006,-0.0451409539282735,0
52466,-0.2934395304967512,-0.4608724256628955,-1.47689343619361,2.12231379246165,-1.22946956041319,1.20184879823143,-0.343264387787516,-1.31770390932283,-1.52814215893659,-0.620953383361586,-1.21304032250238,-2.97526724837752,3.53221960237349,-3.68263987014104,-1.15477748628793,-5.16522922685485,-0.240091425455286,-2.40492728839102,-5.67173864053893,-0.99429395124741,-0.289935891439032,0.276893466308702,1.18603560532412,-0.0402148700651311,-0.238930086824211,0.110144325976026,0.0454183699836296,-0.56923231725429,0.481018701576887,-0.0475554426964208,1
148082,-0.1440648361629288,0.05502884197417733,-0.758360717614326,1.00847091322445,0.917605041492127,1.10625654953956,-0.888480178045134,0.539290292985187,-1.08765503683975,0.726091053956696,0.660057103719746,-0.154253517539856,-1.04486787243201,-1.03326097834392,-0.78374108338317,-1.16644467388596,2.4618934976117,0.292578487299291,1.28355215428655,1.64236452028822,2.12496200146387,0.216499579321308,0.251196914191815,0.748217168462787,-0.0565330526409888,0.521341215315098,-1.01192923398869,0.877467919670076,-0.021004269214879,0.209364768823221,0
230476,1.0175365052749248,0.7243036219880403,-0.0997238993578782,2.79541433019956,-6.42385558221477,3.24751301512342,-1.6322902693315,-2.76666493059313,-2.31222288290759,0.961014122482514,-1.89600096481329,-4.91934829935247,3.05365441815753,-5.29781140208753,-1.46602972848647,-7.03588005080407,1.99713237234969,-3.83618852542499,-2.51518280017187,-0.864578711859257,2.32892697361116,0.340898315660141,0.647714388377444,0.126575864283858,0.203953480088146,0.0084949976311171,-0.174501150725926,0.575294798178312,0.152875890788003,-0.0981728103598323,1
251477,-0.29665339202123947,0.8302141707491865,-1.067713272294,5.26231210944906,-8.4385670664835,7.31648729995658,0.0082535729164869,-2.12593631959976,-3.3070357352934,1.86983752340028,-4.52258362448849,-5.17281182346005,5.59112619350265,-5.64041745782421,0.784510038605689,-12.0438056158463,0.353814874886981,-1.92055816814255,-1.87992827944447,0.679751299229409,0.797641375455208,0.821404548671474,0.547789786518153,-0.491959821843257,0.0559141341245579,-1.14536853471475,0.0689513455242996,0.535054734945035,0.539263072143882,0.124255055772618,1
208801,-0.27974568574023617,0.6178174085691797,0.049010149507129,0.73922150164344,0.232690699753469,-0.582889203619556,0.28153684594185,-1.13491833835329,0.886369794663245,-0.102419113019658,0.229058929082005,-0.357600460171668,-1.28437141980024,-0.826171135905026,-1.75385058997253,0.461677517140856,-0.204167917744161,0.0076806781513079,-0.329454847848298,-0.511114541095023,-0.0484408686285138,-0.152953005528143,-0.28565926165428,-0.727965831575678,0.0806329423410366,-0.0796087721064843,-0.541564879741002,0.148090973050445,0.235896709702234,0.0929009686754765,0
282217,0.2191015161042409,1.0108436424300098,-1.13185016370298,3.07232492802677,-3.18910752106418,4.40908363100361,0.0741123470277283,-0.272999521768971,0.0208247325655713,1.44906713479825,-2.25554436241365,2.01424191970487,-2.19843445877083,-1.2335433796108,-1.71959764858123,2.38162742586778,-0.0588440349799474,-0.489911955693064,1.05749551545447,0.156090020085197,1.01144272501832,-0.196377422908434,0.571807504089731,1.46965350793954,0.28688694602368,0.602028927467073,-1.38926417841042,0.455693353493356,0.199589964246909,0.273400471767564,0
189701,0.9969957381401523,0.5148909174214923,-4.59944700208203,2.76253994253031,-4.6565298706326,5.20140306725894,-2.47038771213247,-0.357617930345621,-3.7671888274624,0.0614664440276634,-1.83619986278079,-1.4706452575308,2.14393063330902,-5.83973605661705,0.153011630876735,-6.17736456586248,-0.78541565373917,-4.51052273721062,-10.3405128633486,-4.18117755349571,-0.376135682527478,-1.00065772232141,1.58148035659457,0.261332719512975,0.621415022135499,0.994109926998982,-0.687853106052664,-0.337531252843331,-1.61279104641522,1.23142473470435,1
283955,3.6468944316355763,1.0260811334719628,1.53133899791245,-1.03765318615168,-1.46399501371763,0.629150515212778,-0.170697926787436,-0.334226052706121,0.270834466683323,-0.221084822540381,0.682665706608243,-0.033502701579405,-1.13243097721189,0.213770315389621,0.178734549026414,0.190469314925089,0.296027088907499,0.1586378771031,-0.518991251268493,-0.23551847160323,-0.0803639019999166,0.383177152065042,0.125038198505515,-0.138873066601933,-0.0525934129870291,0.513487422839006,-0.179833838307083,0.213479184216522,-0.102713087090797,-0.0037784712212061,0
137123,-0.19450848878641794,-0.03134435319963815,1.08972745026398,0.521073992925646,0.77143786621214,2.31401687683091,0.0433976691847706,0.262817252985965,-0.0320526461386074,0.168513145603335,-1.03913053513386,0.785976116027694,1.47908967811321,0.864623389830281,0.200544053851379,0.461485687084293,0.0832612978134304,0.667632187303547,-0.636026878596345,-0.455897165690877,-0.993485909755099,-0.146767515733368,-0.163925483979167,-0.550663815520172,0.154400198254633,-0.0337931091103642,0.152299532230538,-0.254646880977558,0.0067382686555388,0.0164448116042965,0
